year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2023,LONG,transition,WEAK_TRANSITION,LOSER,3,1,1,1,0.0,0.1111111111111111,-0.1111111111111111,1,100.0,0,0,4.636865976382733,46.36152837622679
2023,LONG,transition,WEAK_TRANSITION,LOSER,5,1,1,1,0.0,0.1111111111111111,-0.1111111111111111,1,100.0,0,0,4.636865976382733,46.36152837622679
2023,LONG,entry_mode,均線假跌破站回,NONE,0,7,6,1,0.1891891891891892,0.0,0.1891891891891892,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,WINNER,1,7,6,1,0.1891891891891892,0.0,0.1891891891891892,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,WINNER,3,7,6,1,0.1891891891891892,0.0,0.1891891891891892,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,WINNER,5,7,6,1,0.1891891891891892,0.0,0.1891891891891892,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,LOSER,1,7,6,1,0.19444444444444445,0.0,0.19444444444444445,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,LOSER,3,7,6,1,0.20588235294117646,0.0,0.20588235294117646,0,0.0,7,6,-0.9773224442726821,-65.46416739114086
2023,LONG,entry_mode,均線假跌破站回,LOSER,5,6,6,1,0.1875,0.0,0.1875,0,0.0,6,5,-0.9402109427992795,-53.7201207121619
2023,LONG,entry_mode,壓縮早突破,NONE,0,39,37,1,0.8108108108108109,1.0,-0.18918918918918914,9,23.076923076923077,30,30,-0.07743964999987896,-33.99764150775381
2023,LONG,entry_mode,壓縮早突破,WINNER,1,38,36,1,0.8108108108108109,1.0,-0.18918918918918914,8,21.052631578947366,30,30,-0.2015003243783688,-80.35916988398058
2023,LONG,entry_mode,壓縮早突破,WINNER,3,36,34,1,0.8108108108108109,1.0,-0.18918918918918914,6,16.666666666666664,30,30,-0.4686848713442312,-170.8921966273637
2023,LONG,entry_mode,壓縮早突破,WINNER,5,34,32,1,0.8108108108108109,1.0,-0.18918918918918914,4,11.76470588235294,30,30,-0.7137902825523034,-236.80833741673663
2023,LONG,entry_mode,壓縮早突破,LOSER,1,38,36,1,0.8055555555555556,1.0,-0.19444444444444442,9,23.684210526315788,29,29,-0.047718829260935416,-21.64910106724588
2023,LONG,entry_mode,壓縮早突破,LOSER,3,36,34,1,0.7941176470588235,1.0,-0.20588235294117652,9,25.0,27,27,0.01593568173987108,2.3494990654126084
2023,LONG,entry_mode,壓縮早突破,LOSER,5,35,33,1,0.8125,1.0,-0.1875,9,25.71428571428571,26,26,0.049176727062120104,14.057221413261594
2023,ALL,compression,EXPANDING_ALREADY,NONE,0,14,14,1,0.2972972972972973,0.3333333333333333,-0.036036036036036,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,ALL,compression,EXPANDING_ALREADY,WINNER,1,14,14,1,0.2972972972972973,0.375,-0.07770270270270269,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,ALL,compression,EXPANDING_ALREADY,WINNER,3,14,14,1,0.2972972972972973,0.5,-0.2027027027027027,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,ALL,compression,EXPANDING_ALREADY,WINNER,5,13,13,1,0.2972972972972973,0.5,-0.2027027027027027,2,15.384615384615385,11,11,-0.5995418963581446,-75.3438919208872
2023,ALL,compression,EXPANDING_ALREADY,LOSER,1,14,14,1,0.3055555555555556,0.3333333333333333,-0.027777777777777735,3,21.428571428571427,11,11,-0.36316230764455987,-49.73075625437508
2023,ALL,compression,EXPANDING_ALREADY,LOSER,3,13,13,1,0.29411764705882354,0.3333333333333333,-0.039215686274509776,3,23.076923076923077,10,10,-0.30379117661163046,-37.98192274933384
2023,ALL,compression,EXPANDING_ALREADY,LOSER,5,13,13,1,0.3125,0.3333333333333333,-0.020833333333333315,3,23.076923076923077,10,10,-0.30379117661163046,-37.98192274933384
2023,ALL,compression,MILD_COMPRESSION,NONE,0,31,30,1,0.6756756756756757,0.6666666666666666,0.009009009009009028,6,19.35483870967742,25,24,-0.1170848467206895,-38.02333029667061
2023,ALL,compression,MILD_COMPRESSION,WINNER,1,30,29,1,0.6756756756756757,0.625,0.05067567567567566,5,16.666666666666664,25,24,-0.2755498741574703,-84.38485867289735
